Name,NGOs
https://www.activecitizensfund.gr/findyourpartner/en/profile/women+do+business/,Women Do Business
https://www.activecitizensfund.gr/foreas/women-on-top/,Women On Top
https://www.activecitizensfund.gr/foreas/wwf-ellas/,WWF Ελλάς
https://www.activecitizensfund.gr/foreas/allileggyi-stirixi-prostasia-isotita-diapolitismiki-anaptyxi-a-s-p-i-da/,Α.Σ.Π.Ι.ΔΑ - Αλληλεγγύη Στήριξη Προστασία Ισότητα Διαπολιτισμική Ανάπτυξη
https://www.activecitizensfund.gr/foreas/a21-katargontas-tin-adikia-ston-21o-aiona/,Α21 - Καταργώντας την αδικία στον 21ο αιώνα
https://www.activecitizensfund.gr/foreas/syllogos-prostasias-kai-perithalpsis-agrias-zois-anima/,ΑΝΙΜΑ - Σύλλογος Προστασίας και Περίθαλψης Άγριας Ζωής
https://www.activecitizensfund.gr/foreas/paidiki-vivliothiki/,Ανοικτή Παιδική Βιβλιοθήκη
https://www.activecitizensfund.gr/foreas/apostoli-anthropos/,Αποστολή ΑΝΘΡΩΠΟΣ
https://www.activecitizensfund.gr/foreas/archelon-syllogos-gia-tin-prostasia-tis-thalassias-chelonas/,ΑΡΧΕΛΩΝ Σύλλογος για την Προστασία της Θαλάσσιας Χελώνας
https://www.activecitizensfund.gr/foreas/baumstrasse-_dromos-me-dentra/,Βaumstrasse - Δρόμος με Δέντρα
https://www.activecitizensfund.gr/foreas/giatroi-toy-kosmoy-elladas/,Γιατροί του Κόσμου Ελλάδος
https://www.activecitizensfund.gr/foreas/3688/,Διάσωση Ακτής
https://www.activecitizensfund.gr/foreas/diethnis-amnistia/,Διεθνής Αμνηστία
https://www.activecitizensfund.gr/foreas/diethnis-diafaneia-ellas/,Διεθνής Διαφάνεια-Ελλάς
https://www.activecitizensfund.gr/foreas/diethnis-koinoniki-ypiresia/,Διεθνής Κοινωνική Υπηρεσία
https://www.activecitizensfund.gr/foreas/diktyo-anadochon-goneon-kai-ethelonton-gia-tin-exoidrymatiki-koinoniki-frontida-ton-anilikon-dikaioma-stin-oikogeneia/,Δικαίωμα στην Οικογένεια
https://www.activecitizensfund.gr/foreas/diktyo-gia-ta-dikaiomata-toy-paidioy/,Δίκτυο για τα Δικαιώματα του Παιδιού
https://www.activecitizensfund.gr/foreas/diogenis-mko/,Διογένης (Σχεδία)
https://www.activecitizensfund.gr/foreas/etaireia-psychokoinonikis-ereynas-kai-paremvasis-e-ps-e-p/,Ε.Ψ.Ε.Π - Εταιρεία Ψυχοκοινωνικής Έρευνας και Παρέμβασης
https://www.activecitizensfund.gr/foreas/k-s-d-e-o-edra-koinonikes-synetairistikes-drastiriotites-eypathon-omadon/,Έδρα - Κοινωνικές Συνεταιριστικές Δραστηριότητες Ευπαθών Ομάδων
https://www.activecitizensfund.gr/foreas/etaireia-ereynas-kai-ekpaideysis-klinikon-dexiotiton/,ΕΕΕΚΔ - Εταιρείας Έρευνας και Εκπαίδευσης Κλινικών Δεξιοτήτων
https://www.activecitizensfund.gr/foreas/eliza-etairia-kata-tis-kakopoiisis-toy-paidioy/,ΕΛΙΖΑ - Εταιρία κατά της Κακοποίησης του Παιδιού
https://www.activecitizensfund.gr/foreas/elix-programmata-ethelontikis-ergasias/,ΕΛΙΞ – Προγράμματα Εθελοντικής Εργασίας
